"filename", "language", "Markdown", "Go Checksum File", "Properties", "Go", "YAML", "Go Module File", "JSON with Comments", "TypeScript", "TypeScript JSX", "PostCSS", "JavaScript", "JSON", "HTML", "XML", "MS SQL", "comment", "blank", "total"
"/home/anonymous/Desktop/projects/autobiography/client/src/components/ui/collapsible.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 10
"/home/anonymous/Desktop/projects/autobiography/client/src/components/ui/command.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 18, 154
"/home/anonymous/Desktop/projects/autobiography/client/src/components/ui/context-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 181, 0, 0, 0, 0, 0, 0, 0, 18, 199
"/home/anonymous/Desktop/projects/autobiography/client/src/components/ui/dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 13, 121
"/home/anonymous/Desktop/projects/autobiography/client/src/components/ui/drawer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 13, 117
"/home/anonymous/Desktop/projects/autobiography/client/src/components/ui/dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 181, 0, 0, 0, 0, 0, 0, 0, 18, 199
"/home/anonymous/Desktop/projects/autobiography/client/src/components/ui/form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 152, 0, 0, 0, 0, 0, 0, 0, 25, 177
"/home/anonymous/Desktop/projects/autobiography/client/src/components/ui/hover-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 6, 28
"/home/anonymous/Desktop/projects/autobiography/client/src/components/ui/input-otp.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 8, 70
"/home/anonymous/Desktop/projects/autobiography/client/src/components/ui/input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"/home/anonymous/Desktop/projects/autobiography/client/src/components/ui/label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 25
"/home/anonymous/Desktop/projects/autobiography/client/src/components/ui/menubar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 216, 0, 0, 0, 0, 0, 0, 0, 19, 235
"/home/anonymous/Desktop/projects/autobiography/client/src/components/ui/navigation-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 12, 129
"/home/anonymous/Desktop/projects/autobiography/client/src/components/ui/pagination.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 11, 118
"/home/anonymous/Desktop/projects/autobiography/client/src/components/ui/popover.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 6, 30
"/home/anonymous/Desktop/projects/autobiography/client/src/components/ui/progress.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 4, 27
"/home/anonymous/Desktop/projects/autobiography/client/src/components/ui/radio-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 5, 43
"/home/anonymous/Desktop/projects/autobiography/client/src/components/ui/resizable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 6, 44
